key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
advancements.end.dragon_egg.title	The Next Generation	下一世代	下一世代	銀河飛龍	生生不息	ザ・ネクストジェネレーション	그다음 세대	Thế hệ mới
advancements.end.elytra.title	Sky's the Limit	天空即为极限	天下無難事	天下無難事	不畏浮雲遮望眼	空はどこまでも高く	불가능은 없다	Giới hạn của bầu trời
advancements.end.enter_end_gateway.title	Remote Getaway	远程折跃	遠走高飛	逃向遠方	逍遙遊	遠方への逃走	머나먼 휴양지	Cao chạy xa bay
advancements.end.find_end_city.title	The City at the End of the Game	在游戏尽头的城市	終末之城	終末都市	危樓高百尺	ゲームの果ての都市	게임의 끝에서 만난 도시	Thành phố ở cuối trò chơi
advancements.end.kill_dragon.title	Free the End	解放末地	解放終界	解放終界	龍戰玄黃	エンドの解放	엔드 해방	Giải thoát the End
advancements.end.levitate.title	Great View From Up Here	这上面的风景不错	上面風景真係正	上面的風景真好	一覽眾山小	ここからの素晴らしい眺め	위쪽 공기 좋은데?	Góc nhìn tuyệt vời từ trên cao
advancements.end.respawn_dragon.title	The End... Again...	结束了…再一次…	終界⋯⋯復陷⋯⋯	終界... 再臨...	六道輪回	おしまい…再び…	끝 아녔어?	Lại kết thúc nữa ư...
advancements.end.root.title	The End	末地	終界	終界	終界	ジ・エンド	엔드	The End - Sự kết thúc
advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	生日快乐歌	生日歌	生日快樂歌	萬壽頌	バースデー・ソング	생일 축하 노래	Khúc hát mừng sinh nhật
advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	找到一个好朋友	我係你嘅好朋友	我是你好朋友	義結金蘭	君はともだち	난 너의 친구야	Cậu có một người bạn là tôi đây
advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	最萌捕食者	最得意嘅獵食者	最可愛的捕食者	亦獸亦美	いちばんカワイイ捕食者	귀여운 포식자	Thú săn mồi dễ thương nhất
advancements.husbandry.balanced_diet.title	A Balanced Diet	均衡饮食	均衡飲食	均衡飲食	遍嘗百草	バランスの取れた食事	균형 잡힌 식단	Chế độ ăn uống cân bằng
advancements.husbandry.breed_all_animals.title	Two by Two	成双成对	成雙成對	成雙成對	雙宿雙飛	2匹ずつ	짝지어주기	Đôi bên đôi
advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	我从哪儿来？	我喺邊度嚟？	送子鳥的禮物	吾命何來	コウノトリの贈り物	아기는 어떻게 태어나?	Con vẹt và con dơi
advancements.husbandry.complete_catalogue.title	A Complete Catalogue	百猫全书	百貓全書	貓科全書	齊貓要術	猫大全集	집사 그 자체	Danh mục hoàn chỉnh
advancements.husbandry.feed_snifflet.title	Little Sniffs	小小嗅探兽	嗅探獸細路仔	小小嗅探獸	乳嗅未乾	可愛らしい鼻の音	조그만 킁킁이	Kẻ đánh hơi bé nhỏ
advancements.husbandry.fishy_business.title	Fishy Business	腥味十足的生意	經營水產	關漁生意	初涉漁道	生臭い仕事	강태공이 세월을 낚듯	Công việc đầy mùi cá
advancements.husbandry.froglights.title	With Our Powers Combined!	相映生辉！	相映生輝！	同心協力！	珠聯璧合！	僕たちの力を合わせて！	우리의 힘을 합친다면!	Hợp nhất sức mạnh!
advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	友谊的治愈力！	友誼的治療波動！	療癒力滿點的友情！	厚誼癒疾！	友情の癒しパワー！	우정의 치유력!	Sức mạnh của tình bạn!
advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	呱呱队出动	呱呱隊出動	蛙軍壓境	眾鼃躍集	みんなで町に跳び込もう	개구리 삼총사 출동!	Biệt đội ếch ộp
advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	眼前一亮！	熒光奪目！	光輝奪目！	熒熒爍目！	この輝きに驚くことなかれ！	밝은 말 고운 말	Sáng ơi là sáng!
advancements.husbandry.netherite_hoe.title	Serious Dedication	终极奉献	敬業樂業	敬業樂業	躬耕不輟	真面目な献身	도를 넘은 전념	Sự cống hiến nghiêm túc
advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	怪味蛋	逸聞趣事	逸聞趣事	饒有興味	興味深い匂い	흥미로운 냄새	Có mùi thú vị đây
advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	播种往事	播種往事	種種往事	繩其祖畝	遥か古の植物	과거를 심다	Gieo trồng quá khứ
advancements.husbandry.plant_seed.title	A Seedy Place	开荒垦地	汗滴禾下土	汗滴禾下土	咸播秬黍	種だらけの場所	씨앗이 자라나는 곳	Hạt giống vô biên
advancements.husbandry.remove_wolf_armor.title	Shear Brilliance	华丽一剪	華麗一剪	剪潔俐落	錚錚鉸鉸	キレがいいね	탁월한 가위질	Người thợ tháo vát
advancements.husbandry.repair_wolf_armor.title	Good as New	完好如初	整舊如新	復舊如新	修我甲兵	まるで新品	새것처럼	Tốt như mới
advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	羊帆起航！	羊帆起航！	飄羊過海！	飄羊過海	あなたのヤギたい様に！	염소 떴소	Bảy nổi ba chìm với chú dê!
advancements.husbandry.root.title	Husbandry	农牧业	農牧	農牧	行牧且耕	農業	농사	Nông nghiệp
advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	与蜂共舞	待客蜂範	待客蜂範	蜂場作戲	秘蜜の晩餐会	벌집을 내 집처럼	Cứ tự nhiên đi
advancements.husbandry.silk_touch_nest.title	Total Beelocation	举巢搬迁	蜂裝物流	蜂裝物流	原蜂不動	綿蜜な引越し	한 벌 한 벌 정성껏 모시겠습니다	Di dời tổ ong
advancements.husbandry.tactical_fishing.title	Tactical Fishing	战术性钓鱼	戰術性捕魚	戰術性捕魚	緵罟漁獵	戦術的漁業	이 대신 잇몸으로	Chiến thuật câu cá
advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	蚪到桶里来	通通入桶	通通進桶	請君入桶	おけおけ	양동이에 올챙이 한 마리	Bắt nó bắt nó
advancements.husbandry.tame_an_animal.title	Best Friends Forever	永恒的伙伴	最佳拍檔	永遠的好搭檔	金石之交	永遠の親友となるだろう	인생의 동반자	Mãi là người bạn tốt
advancements.husbandry.wax_off.title	Wax Off	脱蜡	除蠟	除蠟	除蠟	錆止め落とし	밀랍을 벗기자	Cạo sáp ra
advancements.husbandry.wax_on.title	Wax On	涂蜡	打蠟	上蠟	塗蠟	錆止め	밀랍을 칠하자	Bôi sáp vào
advancements.husbandry.whole_pack.title	The Whole Pack	群狼聚首	羣狼聚首	琳狼滿目	群狼有首	ワンチーム	외롭지 못한 늑대	Gia đình nhà sói
advancements.nether.all_effects.title	How Did We Get Here?	为什么会变成这样呢？	點解會變成咁樣？	我們是如何走到這地步的？	神魂顛倒	どうやってここまで？	어쩌다 이 지경까지	Ta đến đây bằng cách nào vậy?
advancements.nether.all_potions.title	A Furious Cocktail	狂乱的鸡尾酒	杯酒有啲勁	猛烈的雞尾酒	百味雜陳	猛烈なカクテル	뿅가는 폭탄주	Ly Cocktail nguy hiểm
advancements.nether.brew_potion.title	Local Brewery	本地酿造厂	自家釀造廠	道地的釀造坊	靈丹妙藥	町のお薬屋さん	물약 양조장	Pha chế thuốc tại nhà
advancements.nether.charge_respawn_anchor.title	"Not Quite ""Nine"" Lives"	锚没有九条命	唔似「九」條命	非言「九」命	休言九命	人に九生なし	목숨 충전	"Ai sống dai hơn ""Mèo chín mạng""?!"
advancements.nether.create_beacon.title	Bring Home the Beacon	带信标回家	家有光明	為家庭帶來光明	烽蓽生輝	生活のビーコン	신호기 꾸리기	Mang đèn hiệu về nhà
advancements.nether.create_full_beacon.title	Beaconator	信标工程师	引導者	引導者	烽芒畢露	ビーコネーター	신호자	Hải đăng
advancements.nether.distract_piglin.title	Oh Shiny	金光闪闪	金光閃閃	金光閃閃	金光大耀	わーいぴかぴか！	반짝반짝 눈이 부셔	Ồ, sáng quá!
advancements.nether.explore_nether.title	Hot Tourist Destinations	热门景点	熱門景點	熱門景點	縱橫熱土	ホットな観光地	화끈한 관광 명소	Địa điểm du lịch nóng hổi
advancements.nether.fast_travel.title	Subspace Bubble	曲速泡	子空間泡泡	子空間氣泡	日行千里	亜空間バブル	천 리 길도 한 걸음	Bong bóng tiểu không gian
advancements.nether.find_bastion.title	Those Were the Days	光辉岁月	光輝歲月	今非昔比	韶光荏苒	兵どもが夢の跡	그때가 좋았지	Những ngày xưa ấy
advancements.nether.find_fortress.title	A Terrible Fortress	阴森的要塞	陰森要塞	可怕的要塞	風聲鶴唳	恐ろしい要塞	끔찍한 요새	Một pháo đài khủng khiếp
advancements.nether.get_wither_skull.title	Spooky Scary Skeleton	惊悚恐怖骷髅头	詭異恐怖骷髏骨	詭異又恐怖的骷髏	骸骨森森	不気味で怖いスケルトン	으스스한 스켈레톤	Bộ xương rùng rợn đáng sợ
advancements.nether.loot_bastion.title	War Pigs	战猪	戰豬	戰豬	戰豕	ブタ戦争	돼지와 전쟁	Heo chiến
advancements.nether.netherite_armor.title	Cover Me in Debris	残骸裹身	用殘骸包住我	以瓦礫為壁壘	覆軀以骸	残骸で私を覆って	잔해로 날 감싸줘	Che chắn tôi bằng mảnh vỡ
advancements.nether.obtain_ancient_debris.title	Hidden in the Depths	深藏不露	深藏不露	深藏不露	巖棲谷隱	深淵に隠されしもの	깊이 파묻힌 잔해	Ẩn dưới vực thẳm
advancements.nether.obtain_blaze_rod.title	Into Fire	与火共舞	與火共舞	與火共舞	赴湯蹈火	炎の中へ	포화 속으로	Chữa cháy
advancements.nether.obtain_crying_obsidian.title	Who is Cutting Onions?	谁在切洋葱？	邊個切緊洋葱？	是誰在切洋蔥？	孰方切胡蔥歟？	玉ねぎを切っているのは誰？	누가 양파를 써나?	Ai đang cắt hành vậy?
advancements.nether.return_to_sender.title	Return to Sender	见鬼去吧	禮尚往來	以牙還牙	以牙還牙	差出人に返送	전해지지 않은 러브레터	Trả lại cho người gửi
advancements.nether.ride_strider_in_overworld_lava.title	Feels Like Home	温暖如家	温暖如家	溫暖如家	賓至如歸	実家のような安心感	고향 같은 편안함	Cảm giác như ở nhà
advancements.nether.ride_strider.title	This Boat Has Legs	画船添足	畫船添足	行舟	畫舟添足	足のついたボート	두 발 달린 보트	Chiếc thuyền có chân
advancements.nether.root.title	Nether	下界	地獄	地獄	焱界	ネザー	네더	Nether
advancements.nether.summon_wither.title	Withering Heights	凋零山庄	凋零山莊	凋零山莊	西風凋碧樹	荒が丘	시들어 버린 언덕	Đồi Wither
advancements.nether.uneasy_alliance.title	Uneasy Alliance	脆弱的同盟	有內鬼！	不安的同盟	遠交近攻	不安な同盟	쉽지 않은 동행	Đồng minh khó gần
advancements.nether.use_lodestone.title	Country Lode, Take Me Home	天涯共此石	針尖指，遊子思	天涯共此石	天涯共此石	この道をずっとゆけば	집으로 이끌려가네	Ơi! Nam châm quê, nam châm quê
advancements.story.cure_zombie_villager.title	Zombie Doctor	僵尸科医生	喪屍醫生	殭屍醫生	杏林春滿	ゾンビドクター	좀비 의사	Bác sĩ Thây ma
advancements.story.deflect_arrow.title	Not Today, Thank You	不吃这套，谢谢	唔好意思，今日唔得	抱歉，今天不行	此時不候	今日はやめておきます	저희는 그런 것 받지 않습니다	Dễ gì mà bắn hạ được ta
advancements.story.enchant_item.title	Enchanter	附魔师	附魔師	附魔師	淬靈祖師	エンチャントの使い手	마법 부여자	Nhà phù phép
advancements.story.enter_the_end.title	The End?	结束了？	結束咗？	結束了？	終焉？	おしまい？	이걸로 끝이야?	Kết thúc rồi ư?
advancements.story.enter_the_nether.title	We Need to Go Deeper	勇往直下	向下開拓	我們必須更深入一點	業火填膺	さらなる深みへ	더 깊은 곳으로	Chúng ta cần tiến sâu hơn
advancements.story.follow_ender_eye.title	Eye Spy	隔墙有眼	隔牆有眼	隔牆有眼	望眼欲穿	アイ・スパイ	스무고개	Mắt gián điệp
advancements.story.form_obsidian.title	Ice Bucket Challenge	冰桶挑战	冰桶挑戰	冰桶挑戰	冰火凝萃	アイス・バケツ・チャレンジ	아이스 버킷 챌린지	Thử thách nước đá
advancements.story.iron_tools.title	Isn't It Iron Pick	这不是铁镐么	呢把就係鐵鎬？	莫非這是鐵鎬	此非鐵鎬邪？	鉄のツルハシで決まり	이젠 철 좀 들어라	Cuốc chim sắt đây rồi
advancements.story.lava_bucket.title	Hot Stuff	热腾腾的	新鮮滾熱辣	火熱的東西	炙手可熱	ホットスタッフ	화끈한 화제	Món đồ nóng bỏng
advancements.story.mine_diamond.title	Diamonds!	钻石！	鑽石！	鑽石！	金剛石！	ダイヤモンド！	다이아몬드다!	Kim cương!
advancements.story.mine_stone.title	Stone Age	石器时代	石器時代	石器時代	巖藝之代	石器時代	석기 시대	Thời kì đồ đá
advancements.story.obtain_armor.title	Suit Up	整装上阵	整裝待發	整裝待發	嚴陣以待	装備せよ	차려입기	Lên đồ
advancements.story.root.title	Minecraft	Minecraft	Minecraft	Minecraft	礦藝	Minecraft	Minecraft	Minecraft
advancements.story.shiny_gear.title	Cover Me with Diamonds	钻石护体	用鑽石包住我	用鑽石包覆我	金剛之軀	ダイヤモンドで私を覆って	다이아몬드로 날 감싸줘	Che chắn tôi bằng kim cương
advancements.story.smelt_iron.title	Acquire Hardware	来硬的	夾硬嚟	來硬的	鐵藝	金属を手に入れる	철이 철철 넘쳐	Kiếm lấy phần cứng
advancements.story.upgrade_tools.title	Getting an Upgrade	获得升级	更上一層樓	獲取升級	更上層樓	アップグレード	더욱더 좋게	Nâng cấp
biome.minecraft.badlands	Badlands	恶地	惡地	惡地	塬	荒野	악지	Vùng đất cằn cỗi
biome.minecraft.bamboo_jungle	Bamboo Jungle	竹林	竹林	竹林	竹林	竹林	대나무 정글	Rừng tre
biome.minecraft.basalt_deltas	Basalt Deltas	玄武岩三角洲	玄武岩三角洲	玄武岩三角洲	黑堦石三角洲	玄武岩の三角州	현무암 삼각주	Châu thổ đá bazan
biome.minecraft.beach	Beach	沙滩	沙灘	沙灘	灘	砂浜	해변	Bãi biển
biome.minecraft.birch_forest	Birch Forest	桦木森林	樺木森林	樺木森林	樺林	シラカバの森	자작나무 숲	Rừng gỗ bạch dương
biome.minecraft.cherry_grove	Cherry Grove	樱花树林	櫻花樹林	櫻花樹林	櫻林	サクラの林	벚나무 숲	Rừng núi anh đào
biome.minecraft.cold_ocean	Cold Ocean	冷水海洋	寒冷海洋	寒冷海洋	寒海	冷たい海	차가운 바다	Đại dương lạnh giá
biome.minecraft.crimson_forest	Crimson Forest	绯红森林	猩紅森林	緋紅森林	緋蕈林	真紅の森	진홍빛 숲	Rừng đỏ thẫm
biome.minecraft.dark_forest	Dark Forest	黑森林	黑森林	黑森林	烏林	暗い森	어두운 숲	Rừng tối
biome.minecraft.deep_cold_ocean	Deep Cold Ocean	冷水深海	寒冷深海	寒冷深海	深寒海	冷たい深海	깊고 차가운 바다	Đại dương lạnh giá sâu thẳm
biome.minecraft.deep_dark	Deep Dark	深暗之域	深暗之域	深淵	黯淵	ディープダーク	깊은 어둠	Bóng tối sâu thẳm
biome.minecraft.deep_frozen_ocean	Deep Frozen Ocean	冰冻深海	寒凍深海	寒凍深海	深凍海	凍った深海	깊고 얼어붙은 바다	Đại dương băng giá sâu thẳm
biome.minecraft.deep_lukewarm_ocean	Deep Lukewarm Ocean	温水深海	温和深海	溫和深海	深溫海	ぬるい深海	깊고 미지근한 바다	Đại dương âm ấm sâu thẳm
biome.minecraft.deep_ocean	Deep Ocean	深海	深海	深海	深海	深海	깊은 바다	Đại dương sâu thẳm
biome.minecraft.desert	Desert	沙漠	沙漠	沙漠	大漠	砂漠	사막	Sa mạc
biome.minecraft.dripstone_caves	Dripstone Caves	溶洞	溶洞	鐘乳石洞窟	鐘乳石穴	鍾乳洞	점적석 동굴	Hang động thạch nhũ
biome.minecraft.end_barrens	End Barrens	末地荒地	終界荒地	終界荒地	終界礁	エンドのやせ地	엔드 불모지	Đồng hoang End
biome.minecraft.end_highlands	End Highlands	末地高地	終界高地	終界高地	終界坻	エンドの高地	엔드 고지	Cao nguyên End
biome.minecraft.end_midlands	End Midlands	末地内陆	終界平地	終界平地	終界漠嶼	エンドの内陸部	엔드 중지	Trung nguyên End
biome.minecraft.eroded_badlands	Eroded Badlands	风蚀恶地	侵蝕惡地	侵蝕惡地	劣塬	侵食された荒野	침식된 악지	Vùng đất cằn cỗi bị biến đổi
biome.minecraft.flower_forest	Flower Forest	繁花森林	繁花森林	繁花森林	繁花林	花の森	꽃 숲	Rừng hoa
biome.minecraft.forest	Forest	森林	森林	森林	林	森林	숲	Rừng
biome.minecraft.frozen_ocean	Frozen Ocean	冻洋	冰洋	寒凍海洋	凍海	凍った海	얼어붙은 바다	Đại dương băng giá
biome.minecraft.frozen_peaks	Frozen Peaks	冰封山峰	冰峯	霜凍山峰	凍峰	凍った山頂	얼어붙은 봉우리	Đỉnh núi băng giá
biome.minecraft.frozen_river	Frozen River	冻河	冰河	寒凍河流	凍川	凍った川	얼어붙은 강	Sông băng giá
biome.minecraft.grove	Grove	雪林	雪林	雪林	雪林	林	산림	Rừng núi phủ tuyết
biome.minecraft.ice_spikes	Ice Spikes	冰刺之地	冰刺之地	冰刺	冰錐原	氷樹	역고드름	Mũi băng
biome.minecraft.jagged_peaks	Jagged Peaks	尖峭山峰	尖峯	尖峭山峰	尖峰	尖った山頂	뾰족한 봉우리	Đỉnh núi lởm chởm
biome.minecraft.jungle	Jungle	丛林	叢林	叢林	叢莽	ジャングル	정글	Rừng nhiệt đới
biome.minecraft.lukewarm_ocean	Lukewarm Ocean	温水海洋	温和海洋	溫和海洋	溫海	ぬるい海	미지근한 바다	Đại dương âm ấm
biome.minecraft.lush_caves	Lush Caves	繁茂洞穴	茂盛洞穴	蒼鬱洞窟	葳蕤窟	繁茂した洞窟	무성한 동굴	Hang động tươi tốt
biome.minecraft.mangrove_swamp	Mangrove Swamp	红树林沼泽	紅樹林沼澤地	紅樹林沼澤	沒潮木澤	マングローブの沼地	맹그로브 늪	Đầm lầy ngập mặn
biome.minecraft.meadow	Meadow	草甸	草甸	草甸	甸	草地	목초지	Thảo điền
biome.minecraft.mushroom_fields	Mushroom Fields	蘑菇岛	蘑菇地	蘑菇地	蕈野	キノコ島	버섯 들판	Đồng bằng nấm
biome.minecraft.nether_wastes	Nether Wastes	下界荒地	地獄荒原	地獄荒原	焱界漠	ネザーの荒地	네더 황무지	Vùng Nether hoang vu
biome.minecraft.ocean	Ocean	海洋	海洋	海洋	海	海洋	바다	Đại dương
biome.minecraft.old_growth_birch_forest	Old Growth Birch Forest	原始桦木森林	原始樺木森林	原生樺木森林	古樺林	シラカバの原生林	자작나무 원시림	Rừng bạch dương nguyên sinh
biome.minecraft.old_growth_pine_taiga	Old Growth Pine Taiga	原始松木针叶林	原始松樹針葉林	原生松木針葉林	古松棘林	マツの原生林	소나무 원시 타이가	Rừng Taiga nguyên sinh
biome.minecraft.old_growth_spruce_taiga	Old Growth Spruce Taiga	原始云杉针叶林	原始雲杉針葉林	原生杉木針葉林	古樅棘林	トウヒの原生林	가문비나무 원시 타이가	Rừng Taiga vân sam nguyên sinh
biome.minecraft.pale_garden	Pale Garden	苍白之园	蒼白之園	蒼白之園	縞苑	ペールガーデン	창백한 정원	Vườn nhợt nhạt
biome.minecraft.plains	Plains	平原	平原	平原	原野	平原	평원	Đồng bằng
biome.minecraft.river	River	河流	河流	河流	川	河川	강	Sông
